-0.7550;1.3996;-0.4097;32;247;125;2;
-0.7975;1.4438;-0.4032;18;241;118;0;
-0.8060;1.3988;-0.4181;8;244;98;0;
-0.7686;1.3864;-0.4508;57;239;193;180;
-0.7812;1.4132;-0.3898;25;249;174;93;
-0.7943;1.3928;-0.4301;14;235;85;0;
-0.7601;1.4307;-0.3954;16;255;155;64;
-0.7708;1.4280;-0.4481;65;129;13;0;
-0.7968;1.3938;-0.4016;13;242;88;0;
-0.7991;1.4422;-0.4297;22;221;73;3;
-0.7954;1.3712;-0.4492;41;240;244;243;
-0.8026;1.4412;-0.4497;76;247;246;228;
-0.7966;1.4166;-0.3892;24;243;162;44;
-0.7421;1.4501;-0.4490;46;236;236;228;
-0.7646;1.4170;-0.3974;13;241;109;26;
-0.7956;1.3943;-0.4260;18;237;89;1;
-0.7474;1.4345;-0.4506;48;249;244;238;
-0.7499;1.4170;-0.4198;20;241;87;0;
-0.7431;1.3727;-0.4497;74;244;248;251;
-0.7924;1.3822;-0.4310;7;235;148;81;
-0.7583;1.3929;-0.4218;33;240;102;1;
-0.8016;1.4402;-0.4048;25;242;93;1;
-0.7955;1.4075;-0.3920;20;237;164;62;
-0.7531;1.4306;-0.4173;17;246;110;2;
-0.7689;1.4430;-0.4250;16;189;42;0;
-0.8095;1.4135;-0.4272;12;225;91;2;
-0.7787;1.4502;-0.4202;16;202;51;0;
-0.7821;1.4475;-0.4496;53;237;237;227;
-0.8091;1.4020;-0.4231;7;239;100;0;
-0.7583;1.3991;-0.3965;46;236;202;128;
-0.7711;1.4555;-0.4480;40;228;188;129;
-0.7576;1.4431;-0.4513;69;246;219;190;
-0.8210;1.4251;-0.4503;74;248;247;243;
-0.7428;1.3696;-0.4496;49;239;238;244;
-0.7581;1.4395;-0.4007;29;251;98;4;
-0.8041;1.4010;-0.4275;17;227;92;0;
-0.7979;1.4313;-0.4490;49;140;58;11;
-0.7677;1.3932;-0.4104;11;248;95;1;
-0.7974;1.3769;-0.4504;76;246;250;249;
-0.7626;1.4404;-0.4497;53;234;155;142;
